comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
MP. Chairman. Upodesta. Minister eder agey dhorun. Americatey jara jara bari koresey tadero dhorun joruri. Na  parley sakuri  serey  bari  jan  joldi.,1,0,0,0,0,0
mone hoy priya sahar sathe sorkarer montri golo jorito ace..ta na hole amon kotha bolbe kno..ai ta holo sonar Banglar Sonar montri..ai sob sone r ai Gibone Bangladeshe jete mon caibe na..nijer desh k r koto opoman korbi....,1,0,0,0,1,0
Ai sala kader or mar opkho nitece,0,0,0,0,1,1
Lav ni vi ki khobor tobor Nia aico bichar bivag silent treatment dorkar,1,0,0,0,0,0
natok ta aktu kom korlei hoi,1,0,0,0,0,0
What a buddhi,0,0,0,0,0,0
Md Anamul Haque vaiya Vule o deshe jeo na,0,0,0,0,0,0
Ei desher future ki.,1,0,0,0,0,0
Dinkal ja porse sobari dekhi sathey kichu ekta rakte hobe.jeno akromon korle 2/4 tare sathey niye mora jai.ei chara ami ar upay dekhi na,0,0,0,1,0,0
Chi chi ki obosta ai deshe,0,0,0,0,0,0
Ki shuro holo deshe allah ei desher sokol jonogon k bujar motu towfik dao..,0,0,0,0,0,0
Ghure fire jatikei dos dilam ...haire bangali. Moja moja moja!!!!,0,0,0,0,0,1
adar bicar kora dorkar,0,0,0,0,0,0
Allah ki din aslo re ??????,0,0,0,0,0,0
Congratulations,0,0,0,0,0,0
Bichar chai Bichar nai  Kano nai  Amra sobai  opradhi,1,1,0,0,0,0
Fashi  chai  aei hujuke murderer der. Manuser jibon ki moger mulluk?,0,0,0,1,0,0
Asob Gonopituni te jara jorito bichar er autai ante hobe,0,0,0,0,0,0
we want crossfire to them.,0,0,0,0,0,0
"Dorar sate, sate... Shot kora usit silo....",0,0,0,1,0,0
Gonopituni jinistai nishiddho kora hok. Ebong video footage jakei gotopitunite dekha jabe marte take obosshoi khuni hishebe chinnito kora uchit.,0,0,0,0,0,0
Jodi se kono answer na kore tahole tar kichu kichu sorirer onsosh katte thaklei obossoi bole dibe ki Karon r rohosso ta ki,0,0,0,1,0,0
Salara 2019 aisha akhono sele dhora eisob bishas kore ??,1,0,0,0,1,0
Sondheho holey esthanio police k janabey nijera bicharok hoe gheley to erokom vol protinioto hobey.,0,0,0,0,0,0
Jekono prokar hottai jorito baktike crosfire dea hok,0,0,0,1,0,0
Aaeen k mene sola...,0,0,0,0,0,0
munshigonj er nodi vangon er ki hbe??,0,0,0,0,0,0
Elakar jonoprotinidhider dhon kete dao shob thik hoya jabe,1,1,1,0,0,0
So sd,0,0,0,0,0,0
Amra bangladeshira otirikto ortho orjon korar lov shomboron korte na pere nijerai nijeder hate poribesh noshto kore deshke poribesh biporjoyer mukhomukhi nie eshechi.,1,0,0,0,0,0
good news,0,0,0,0,0,0
Turag nodite  j kono jinis. Manus hok.  Ba kono janbahon gale.  Khuje paoa jai na kno,0,0,0,0,0,0
Manus kotota kharap hole amon khusi note pare .amader cheye kakur o valo ace.Allah sobai k khoma karun,0,0,0,0,1,0
Bangladesh a bestti dorker.,0,0,0,0,0,0
Sab paagal thake neki Bangladeshe???,1,0,1,0,1,1
bangali kre rekeco manus koro ni.kta ta kub kane baje,1,0,0,0,0,1
ate proman hoy shikker man 0,1,0,0,0,1,0
amar ekta frnd ace hata kothay kothay koy hata Du te pore... ekhn hatar ki obostha hoibo kijani... ontoto hatar chapa marar jnno holeo Du under e thakuk!!,1,0,0,0,0,0
Sobai DU likhe rakhchilo fb te. Akhon abar ki holo? Convocation er poro kto pic & lafalafi dekhlam!!,1,0,0,0,0,0
Khub valo korce,0,0,0,0,0,0
eto sotow andolon manay na,1,0,0,0,0,0
"goru ojon o mota hole kano khoti nai ,",1,0,0,0,0,0
